,index,close
565,2002-04-08,57.22
566,2002-04-09,54.87
567,2002-04-10,56.3
568,2002-04-11,54.79
569,2002-04-12,55.93
570,2002-04-15,55.69
571,2002-04-16,57.81
572,2002-04-17,56.63
573,2002-04-18,56.37
574,2002-04-19,57.2
575,2002-04-22,55.59
576,2002-04-23,53.99
577,2002-04-24,53.02
578,2002-04-25,53.73
579,2002-04-26,51.5
580,2002-04-29,52.24
581,2002-04-30,52.26
582,2002-05-01,52.75
583,2002-05-02,51.21
584,2002-05-03,49.56
585,2002-05-06,48.62
586,2002-05-07,49.47
587,2002-05-08,54.97
588,2002-05-09,52.12
589,2002-05-10,50.05
590,2002-05-13,52.69
591,2002-05-14,54.88
592,2002-05-15,54.75
593,2002-05-16,55.74
594,2002-05-17,56.03
595,2002-05-20,54.01
596,2002-05-21,52.19
597,2002-05-22,53.69
598,2002-05-23,54.82
599,2002-05-24,53.26
600,2002-05-28,52.32
601,2002-05-29,52.05
602,2002-05-30,52.64
603,2002-05-31,50.91
604,2002-06-03,49.42
605,2002-06-04,49.98
606,2002-06-05,51.66
607,2002-06-06,51.9
608,2002-06-07,51.98
609,2002-06-10,52.82
610,2002-06-11,52.57
611,2002-06-12,55.54
612,2002-06-13,54.22
613,2002-06-14,55.25
614,2002-06-17,55.68
615,2002-06-18,55.99
616,2002-06-19,54.36
617,2002-06-20,54.1
618,2002-06-21,52.28
619,2002-06-24,54.16
620,2002-06-25,52.95
621,2002-06-26,54.13
622,2002-06-27,54.92
623,2002-06-28,54.7
624,2002-07-01,52.66
625,2002-07-02,51.44
626,2002-07-03,51.84
627,2002-07-05,54.85
628,2002-07-08,52.92
629,2002-07-09,53.21
630,2002-07-10,52.24
631,2002-07-11,52.91
632,2002-07-12,51.86
633,2002-07-15,51.8
634,2002-07-16,51.25
635,2002-07-17,52.0
636,2002-07-18,51.11
637,2002-07-19,49.56
638,2002-07-22,47.51
639,2002-07-23,43.01
640,2002-07-24,46.23
641,2002-07-25,42.83
642,2002-07-26,45.35
643,2002-07-29,48.25
644,2002-07-30,48.1
645,2002-07-31,47.98
646,2002-08-01,45.75
647,2002-08-02,44.41
648,2002-08-05,43.99
649,2002-08-06,45.67
650,2002-08-07,47.09
651,2002-08-08,48.91
652,2002-08-09,48.12
653,2002-08-12,48.47
654,2002-08-13,47.06
655,2002-08-14,49.71
656,2002-08-15,49.77
657,2002-08-16,50.0
658,2002-08-19,52.0
659,2002-08-20,51.04
660,2002-08-21,52.28
661,2002-08-22,53.23
662,2002-08-23,52.22
663,2002-08-26,52.1
664,2002-08-27,50.84
665,2002-08-28,49.38
666,2002-08-29,50.58
667,2002-08-30,49.08
668,2002-09-03,47.02
669,2002-09-04,48.21
670,2002-09-05,45.91
671,2002-09-06,47.82
672,2002-09-09,48.7
673,2002-09-10,49.79
674,2002-09-11,48.58
675,2002-09-12,47.15
676,2002-09-13,47.91
677,2002-09-16,47.78
678,2002-09-17,47.29
679,2002-09-18,47.75
680,2002-09-19,47.2
